city,confirm,dead,heal,suspect,source,update_time
Hokkaido,3,0,0,0,厚生劳动省,20200304
Shiga,0,0,0,0,厚生劳动省,20200304
Aomori,0,0,0,0,厚生劳动省,20200304
Kyoto,2,0,0,0,厚生劳动省,20200304
Iwate,0,0,0,0,厚生劳动省,20200304
Osaka,9,0,0,0,厚生劳动省,20200304
Miyagi,0,0,0,0,厚生劳动省,20200304
Hyōgo,2,0,0,0,厚生劳动省,20200304
Akita,0,0,0,0,厚生劳动省,20200304
Nara,0,0,0,0,厚生劳动省,20200304
Yamagata,0,0,0,0,厚生劳动省,20200304
Wakayama,0,0,0,0,厚生劳动省,20200304
Fukushima,0,0,0,0,厚生劳动省,20200304
Tottori,0,0,0,0,厚生劳动省,20200304
Ibaraki,0,0,0,0,厚生劳动省,20200304
Shimane,0,0,0,0,厚生劳动省,20200304
Tochigi,0,0,0,0,厚生劳动省,20200304
Okayama,0,0,0,0,厚生劳动省,20200304
Gunma,0,0,0,0,厚生劳动省,20200304
Hiroshima,0,0,0,0,厚生劳动省,20200304
Saitama,0,0,0,0,厚生劳动省,20200304
Yamaguchi,0,0,0,0,厚生劳动省,20200304
Chiba,1,0,0,0,厚生劳动省,20200304
Tokushima,0,0,0,0,厚生劳动省,20200304
Tokyo,4,0,0,0,厚生劳动省,20200304
Kagawa,0,0,0,0,厚生劳动省,20200304
Kanagawa,0,0,0,0,厚生劳动省,20200304
Ehime,1,0,0,0,厚生劳动省,20200304
Niigata,0,0,0,0,厚生劳动省,20200304
Kochi,4,0,0,0,厚生劳动省,20200304
Toyama,0,0,0,0,厚生劳动省,20200304
Fukuoka,0,0,0,0,厚生劳动省,20200304
Ishikawa,0,0,0,0,厚生劳动省,20200304
Saga,0,0,0,0,厚生劳动省,20200304
Fukui,0,0,0,0,厚生劳动省,20200304
Naoasaki,0,0,0,0,厚生劳动省,20200304
Yamanashi,0,0,0,0,厚生劳动省,20200304
Kumamoto,1,0,0,0,厚生劳动省,20200304
Nagano,0,0,0,0,厚生劳动省,20200304
Oita,1,0,0,0,厚生劳动省,20200304
Gifu,0,0,0,0,厚生劳动省,20200304
Miyazaki,0,0,0,0,厚生劳动省,20200304
Shizuoka,0,0,0,0,厚生劳动省,20200304
Kagoshima,0,0,0,0,厚生劳动省,20200304
Aichi,8,0,0,0,厚生劳动省,20200304
Okinawa,0,0,0,0,厚生劳动省,20200304
Mie,0,0,0,0,厚生劳动省,20200304
Diamond Princess,0,0,0,0,厚生劳动省,20200304
