city,confirm,dead,heal,suspect,source,update_time
Seoul,6,0,0,0,,20200227
Busan,2,0,0,0,,20200227
Daegu,182,0,0,0,,20200227
Incheon,1,0,0,0,,20200227
Gwangju,0,0,0,0,,20200227
Daejeon,4,0,0,0,,20200227
Ulsan,0,0,0,0,,20200227
Sejong,0,0,0,0,,20200227
Gyeonggi-do,4,0,0,0,,20200227
Gangwon,0,0,0,0,,20200227
ChungCheongbuk-do,1,0,0,0,,20200227
Chungcheongnam-do,4,0,0,0,,20200227
Jeollabuk-do,0,0,0,0,,20200227
Jeollanam-do,0,0,0,0,,20200227
Gyeongsangbuk-do,49,0,0,0,,20200227
Gyeongsangnam-do,3,0,0,0,,20200227
Jeju,0,0,0,0,,20200227
