city,confirm,dead,heal,suspect,source,update_time
北海道,35,0,0,0,厚生劳动省,20200226
京都府,2,0,0,0,厚生劳动省,20200226
栃木县,1,0,0,0,厚生劳动省,20200226
奈良县,1,0,0,0,厚生劳动省,20200226
和歌山县,13,0,0,0,厚生劳动省,20200226
千叶县,12,0,0,0,厚生劳动省,20200226
神奈川县,14,0,0,0,厚生劳动省,20200226
福冈县,2,0,0,0,厚生劳动省,20200226
东京都,32,0,0,0,厚生劳动省,20200226
石川县,4,0,0,0,厚生劳动省,20200226
冲绳县,3,0,0,0,厚生劳动省,20200226
爱知县,20,0,0,0,厚生劳动省,20200226
大阪府,1,0,0,0,厚生劳动省,20200226
熊本县,5,0,0,0,厚生劳动省,20200226
三重县,1,0,0,0,厚生劳动省,20200226
埼玉县,1,0,0,0,厚生劳动省,20200226
德岛县,1,0,0,0,厚生劳动省,20200226
长野县,1,0,0,0,厚生劳动省,20200226
钻石公主号,693,4,0,0,厚生劳动省,20200226
