city,confirm,dead,heal,suspect,source,update_time
Daegu,3081,0,0,0,,20200302
Gyeongsangbuk-do,624,0,0,0,,20200302
Gyeonggi-do,92,0,0,0,,20200302
Gyeongsangnam-do,64,0,0,0,,20200302
Gwangju,9,0,0,0,,20200302
Seoul,91,0,0,0,,20200302
Busan,88,0,0,0,,20200302
Gangwon-do,19,0,0,0,,20200302
Ulsan,20,0,0,0,,20200302
Daejeon,14,0,0,0,,20200302
Chungcheongbuk-do,11,0,0,0,,20200302
Incheon,7,0,0,0,,20200302
Sejong,1,0,0,0,,20200302
Gangwon-do,19,0,0,0,,20200302
Chungcheongnam-do,78,0,0,0,,20200302
Jeju,2,0,0,0,,20200302
Jeollabuk-do,6,0,0,0,,20200302
Jeollanam-do,5,0,0,0,,20200302
